Guid	Word	Reading	ContextHint
rMkEHQ8Igk	精一杯	せいいっぱい	持てる力の限りを出す様子
v!jmi3ii.P	所属	しょぞく	ある組織や団体の一員であること
AX{ejS%who	隅	すみ	部屋の端っこの場所のこと
ngSPvca$UZ	南	みなみ	太陽が昼頃に位置する方角
E~4GoMPw0S	跳ねる	はねる	地面を蹴って飛び上がる動作
QgDH9^qymo	角	かど	道を曲がる所にある曲がり目
fxHa0.}wix	達する	たっする	目的の状態や場所に至ること
QhxZF%f0;p	飽きる	あきる	何度も同じことで嫌になる
j6f(Q=4go[	筋肉	きんにく	体を動かすための組織
OeKR5uI3P=	晴れる	はれる	空の雲が消えて天気が良くなる様子
gT.t3MP5+u	即座に	そくざに	何も待たずにすぐさま行う様子
OK9;Cm1@kH	混じる	まじる	複数のものが一緒に入り交ざる
Ln}s(7+9e	各	かく	ひとつひとつ全てのものごと
rT3xSeH{f>	維持	いじ	現在の良い状態を続けること
gLlf}G19T?	対策	たいさく	問題を解決するための方法
c;%pvkl;9~	汚い	きたない	ゴミや泥で不潔な様子
Qk_$S5[./L	恨む	うらむ	相手を憎く思う気持ち
c8aXz=+=tJ	三つ	みっつ	二に一を足した数のもの
yV|U:acWJD	拭く	ふく	布などで表面をきれいにする
"j/!#01B=ca"	交換	こうかん	互いに物を与え合うこと
x:7E35[sK@	登る	のぼる	高い所を目指して上へ進む
gf{yKKw_^$	英雄	えいゆう	すごい功績を残した立派な人
jF(QR}]$g`	歯	は	口の中で食べ物をかみ砕く器官
CPeAIJZ{jJ	昨夜	ゆうべ	今日の前の日の晩のこと
fefGl[wHh!	波	なみ	海の表面にできる高低の動き
D?Je.?J~[=	真っ直ぐ	まっすぐ	曲がらずにまっすぐ線の様子
s&)Mx,i1ss	夫婦	ふうふ	結婚した男女の二人組
GwTi2IKtJ&	勘弁	かんべん	許して見逃してほしいこと
Q&dM^F@?ok	整理	せいり	物事を順序立ててかたづけること
BT}~J_}u&@	拭う	ぬぐう	汚れを布などで取り除くこと
odkf<3(h^r	追加	ついか	既にあるものにさらに付け足すこと
AK}9Ggw~vb	順調	じゅんちょう	物事が計画通りに進む様子
Z*k1.w/DQ	伺う	うかがう	目上の人に丁寧に尋ねること
"jiA-(zF#o}"	証	あかし	事実を明らかに示すための根拠
"Pd@d#7Od4^"	犯す	おかす	法律や規則に反する行為をする
E9_%x}!}Th	去年	きょねん	今から一つ前のとしのこと
ENB/d_--e~	不機嫌	ふきげん	怒っていて表情が暗い様子
vWbX{l{8TW	彼氏	かれし	交際している相手の男性
qmBJQm]}Nn	散歩	さんぽ	気晴らしにぶらぶらあるくこと
jek$kXyoy>	生	なま	加熱や加工をしていない状態
kj!<F*vG{o	御	ご	丁寧な言い方にするための付け言葉
p+KZz,!~|a	回転	かいてん	中心を軸にぐるぐるまわること
t:4Q6Q9P~s	曲	きょく	音楽の一つのまとまった作品
o{s(Gz{^sH	掲げる	かかげる	旗や目標を高い場所に上げる
F,.$5bmI5K	雇う	やとう	お金を払って人を働かせる
"Lb$@POY#ii"	誕生日	たんじょうび	自分がうまれたことを祝う行事
fa!t!{%siE	拘束	こうそく	自由に動ける状態ではなくなること
nQX;UVPW|6	民	たみ	国や地域に住む一般の人々
D8*Ni{;Q(j	橋	はし	川や谷の上を通る通路
qkDFLF8Ge+	役割	やくわり	その人が担当する仕事や任務
mO&yQbmw;)	尊敬	そんけい	目上の人をうやまい大切に思うこと
"BB#@LH]@F)"	頭上	ずじょう	顔より高い位置の空間のこと
Gd8q;[57Ue	半年	はんとし	いちねんのちょうどはんぶんの期間
G.WbrR]=4U	発表	はっぴょう	新しい情報を皆に伝えること
e2Ge!ij.a{	退屈	たいくつ	することがなくて時間が長く感じる
fxH92v%e0_	強烈	きょうれつ	力や印象がとても激しい様子
c;-et)p6WN	煙	けむり	火から立ち上る白や黒の気体
JYn&CEbd`X	縁	えん	人と人との不思議なつながり
r4G`ogb1x]	皿	さら	料理を盛り付ける丸い道具
e=Q;qs&)::	攻略	こうりゃく	目標を達成するための効果的な方法
kk%=KI!^$V	東京	とうきょう	日本の首都で一番大きな都市
fODX!@n_Kt	候補	こうほ	選ばれる可能性がある人や案
dVhimav+Kn	主に	おもに	ほとんど中心となる部分では
qo_s7!HNyf	いい加減	いいかげん	適当で責任感がない様子
c6Tq=cGPQ~	散る	ちる	一箇所にあった物が四方に分かれる
h<Fu<bG4Tf	群れ	むれ	多くの動物や人がまとまっている
DyxM`7IX(8	以降	いこう	ある時点よりも後の時間帯
sKo-X-8`Aw	犠牲	ぎせい	誰かのために大切なものを諦める
prm1e9E-5L	優れる	すぐれる	能力や品質が他より飛び抜けている
A&a&yg`SA1	金髪	きんぱつ	明るい黄色っぽい色の頭の毛
wR&(=Q@$[3	憧れる	あこがれる	理想の人や物に強く惹かれる
q{%BS2M$2S	今頃	いまごろ	現在のこの時間帯あたりのこと
NSD3}7@%F*	乱れる	みだれる	整っていた状態が崩れてしまう
"tD[qHc#}:l"	若干	じゃっかん	数や量が少しだけある様子
"k#{-Erl[^d"	獲物	えもの	狩りで捕まえる生きもののこと
wQk<IzekE!	玉	たま	丸くて固い小さな形のもの
xKq4qs;XB3	放課後	ほうかご	学校の授業が終わったあとの時間
Mn<CdO`8vb	塞ぐ	ふさぐ	穴や通路に物を詰めて通れなくする
IekdK$XgVs	始末	しまつ	処理をして綺麗に片付けること
sF6B^C(VOt	宙	ちゅう	地面から離れた空中の空間
i,DX=CFn}]	太い	ふとい	細くなく丸みのある大きさの様子
m.uA]9Zxu=	明かり	あかり	部屋の中を照らす光源の光
pQ~hKt|]=o	宇宙	うちゅう	地球の外の広大な世界
t,a-n8BqGr	返答	へんとう	質問にこたえて言葉をかえすこと
cPa(otzybX	襲撃	しゅうげき	計画的に急に相手を攻めること
g/J&Nx7rwq	屋上	おくじょう	建物のいちばん高い所の平らな部分
i`Ik^=I1Zj	不気味	ぶきみ	理由はわからないが恐怖を感じる様子
Ohs/;Q$$xt	兄弟	きょうだい	同じ親から生まれた者の間柄
lSwZJY;f4}	飯	めし	毎日食べるための料理全般
zEGvfKH:Q(	背筋	せすじ	せなかの中央を通る縦の線
jyjq[K9{zf	乾く	かわく	水分がなくなり渇いた状態になる
"z3j#iI<E:+"	癖	くせ	無意識にやってしまう習慣のこと
m8VWQKSpRd	嵐	あらし	強い風と雨が同時に来る天気
i.jqGEzP^^	滑る	すべる	足元が不安定でつるっと動いてしまう
yer<$ecEo>	妄想	もうそう	現実ではない頭の中のイメージ
JV)wt}RQYv	冷める	さめる	熱かったものが温度を失う様子
A3+Z*@uW.U	寸前	すんぜん	何かが起こるすぐまえのこと
v>RF2_&Ygt	儀式	ぎしき	伝統に従って行われる公開の催し
uS&{~+E2O3	塔	とう	高く細長く建てられた建造物
JuoAHYjCW`	妖精	ようせい	小さくて不思議な力を持つ生き物
"n8#eGjC{n-"	店員	てんいん	おみせで働いている人のこと
O^q5F:}7l[	快感	かいかん	気持ち良くて満足な心地よさ
Ba&C$0Cg:y	討伐	とうばつ	悪者を武力で倒し退治すること
dl-sF0B=2J	曖昧	あいまい	はっきりせずぼんやりしている様子
um%zB%tj3>	一旦	いったん	とりあえずひと区切りして行う様子
"K+=dtz#.X2"	屋根	やね	家の一番上の覆いの部分
qSOu,Di5UQ	停止	ていし	動いていたものの動きがとまること
D5YVp}X.!8	施す	ほどこす	必要な処置や支援を行うこと
GH7yKSddC(	誇る	ほこる	自分の成果を大きく褒め示す
"wG)&W#eie`"	祝福	しゅくふく	人の幸せを喜んで祈ること
gQ52Yhu{+!	九	きゅう	八の次にくる一桁の数字
DOSyZZp5r.	魅力	みりょく	人を惹きつける特別なちから
sz{xvVN3IU	指輪	ゆびわ	ゆびにはめて飾る丸い装飾品
v`Wtdc%;~^	医者	いしゃ	病気を治す専門の仕事の人
r%<PTbttad	砂	すな	海岸にある細かい粒の集まり
"nj1b#|Ngz>"	霧	きり	空気中で視界が白くぼやける現象
pp}zlrjlM%	突破	とっぱ	障害を押し切って進むこと
Hq/F*Zn}$v	胸元	むなもと	首の下からむねのあたりの部分
D9ieFZ8(_>	惜しい	おしい	失うのがもったいなく感じる様子
e.zb@a.b&J	商人	しょうにん	物を売って利益を得る仕事のひと
sf)%-p}eL3	苦痛	くつう	耐えがたいくるしみやいたみのこと
AIs$VcAK9/	眉	まゆ	目より上にある毛の生えた部分
n%KZXQtsSp	千	せん	百の十倍にあたる数の単位
MZB=}W^4_A	雷	かみなり	空から光と大きな音が鳴る現象
DIanR.)K^E	拒否	きょひ	相手の申し出を断ること
C/$RG;Sv28	流石に	さすがに	やはりと思わせる納得の言葉
nWNc1C~l2K	歓迎	かんげい	訪ねて来た人を喜んでむかえること
MseqzT@[!d	演技	えんぎ	役になりきって見せる芸術
t]$R~$mFZ|	柄	がら	布や紙に描かれた模様の種類
yNjDUL)mEi	牙	きば	動物の口の中にある鋭い突起
w`GUP&I2e]	解除	かいじょ	制限や設定を元に戻すこと
706nW{rpG	乙女	おとめ	若くて美しいむすめのこと
i+Ca7<q%Sk	三日	みっか	いちから数えてみっつめのひ
"o5<vOM#-Te"	充分	じゅうぶん	足りていて不足がない様子
CtX;T/RUZL	冷える	ひえる	温度が下がって低く感じる様子
L.v-%YK&Sh	変更	へんこう	今までの内容を別のものにすること
"QEx3xX#F1H"	除く	のぞく	全体からいらない物を外に出す
IuGR|:n<pE	陥る	おちいる	悪い状況や罠にはまること
B[nwo5n@FU	怪物	かいぶつ	人間ではない恐ろしい生きもの
I~8Ff[zS~,	削る	けずる	表面を刃物で薄く取り除くこと
D&5DZknU|6	報酬	ほうしゅう	仕事をした見返りにもらう物
jZ.G^Pj|j=	尻尾	しっぽ	動物の後ろにある長い部分
I%Dr*S&8>Q	王宮	おうきゅう	国のトップが住む立派な建物
OeI!%onjg4	相応しい	ふさわしい	条件や場面にちょうど合っている
h1G@z^$H&)	務める	つとめる	与えられた役割を誠実に果たす
ptM?@WZ]Bw	浅い	あさい	深さが少なく底が近い様子
j$`AzrLC`b	上下	じょうげ	高い位置と低い位置の両方
oz4$FfUUz?	唱える	となえる	声に出して言葉を繰り返す
vqK-+t@5%c	付近	ふきん	ある場所の周辺あたりのこと
D(S6f=iyz[	お母様	おかあさま	家族の中心で子供を育てる女性
gu-+JR[z=y	崩壊	ほうかい	建物や組織がこわれてしまうこと
mLtYdjFrzI	特徴	とくちょう	他と違うはっきりした性質
RhG|gQehI+	推測	すいそく	情報をもとに可能性を考えること
"y!#Am0I4g{"	逸らす	そらす	視線や話題を別の方向に向ける
"fQC#N.~EiE"	陣	じん	戦いのために人を配置した隊列
tgu1FP`p]K	幻	まぼろし	実際にはないのにあるように見えるもの
rQBvhm8on1	柱	はしら	家の天井を支える縦の部材
oxiH_JM2y6	消滅	しょうめつ	完全に姿をけして存在しなくなる
KM{|77>cUD	規模	きぼ	計画の大きさや広がりの程度
d-p;ILHo%H	訪ねる	たずねる	人の家や場所に行って会うこと
lJ$uZfwFmZ	値段	ねだん	商品に付けられた金額のこと
BK^lI*8;Wz	拍手	はくしゅ	てのひらを打ち合わせて音を出す
O-!s}li0}@	兄様	にいさま	自分より年上の男の家族のこと
dHfz:lV{6u	聴く	きく	心を込めて注意して耳で感じる
PGW>:?)N,?	添える	そえる	主なものに寄りそうように加える
"MmIKfG#6g>"	故郷	こきょう	生まれ育った懐かしい土地
zD=sUGmx5E	仮面	かめん	顔の前に付けて変装する道具
cwz*`MR_?*	腐る	くさる	食べ物が悪くなって使えなくなる
OW{7Jo9u$E	伴う	ともなう	物事に一緒について起こること
mD&ukfI/PM	帯びる	おびる	身に付けたり性格の一部になる
tEa|o_oLl.	小声	こごえ	周りに聞こえないくらいのこえ
