Guid	Word	Reading	ContextHint
tKMZWX{wj_	共有	きょうゆう	複数の人で同じ物を同時に使うこと
eX&9BVNtbT	築く	きずく	時間をかけて作り上げること
BMJ)G:u6]c	眼鏡	めがね	視力を補うために顔にかける道具
Mruy}rK>FC	専用	せんよう	特定の人や目的だけのために使うこと
c!@n?vyF*X	大陸	たいりく	海に囲まれたひろい土地
i($!vGP/V=	脳裏	のうり	心に焼きついて離れない記憶
EU-<<3L6}1	棒	ぼう	細くて長い形状の道具
Jw4T{f3W@c	挑戦	ちょうせん	難しいことに自ら取り組むこと
tk^wPYAPce	領域	りょういき	ある勢力が支配する範囲
DX@C3me^@8	取引	とりひき	買い手と売り手の間で行う商い
inSn>T@HZ	欠片	かけら	壊れて飛び散った小さな一部
TqZ`PK;6o	寮	りょう	共同生活をするための建物
5:1UL;a;r	透明	とうめい	向こう側が見通せる様子
GR]<Ron8zi	致す	いたす	丁寧に振る舞う時の謙った表現
o*fCmEtP!g	図書館	としょかん	たくさんの本を借りられる公共施設
M)~,LS%|6A	嫁	よめ	結婚した相手の女性のこと
Ow/z;@xXB8	間近	まぢか	もうすぐ何かが起こりそうな時
G{;_+_^t|L	商売	しょうばい	品物を代金と交換して利益を得る活動
h^O{*.g}MH	贈る	おくる	相手に気持ちを込めて物を渡す
ovS58V5X4(	飼う	かう	動物を世話しながら育てること
u_S%ROD41G	切り替える	きりかえる	今までのやり方を別の物に変える
EcYHe3jIeN	表す	あらわす	気持ちや考えを外に見せること
rm4l>>Xu]q	気遣う	きづかう	相手の様子を心配して世話を焼く
P}IE;yE@oJ	脅威	きょうい	危険を感じさせる存在や力
P1a.2cOnBN	ご存じ	ごぞんじ	目上の人が知っている丁寧な表現
c^OIRX&<7.	皮肉	ひにく	遠回しに相手を傷つける言葉
FKw)^uTy_{	自己紹介	じこしょうかい	初対面の人にじぶんのことを話す
f.vE<d!z./	未だ	まだ	ある状態が今も続いている様子
HT%B~vgh~D	怒鳴る	どなる	大きな声で相手を責めること
rS|c_{36Xo	賛成	さんせい	相手の考えに同意を示すこと
y1zhJZ}aK5	緩む	ゆるむ	張りつめていた力が弱まる様子
lu),ch`i&n	お湯	おゆ	沸かして温めた水のこと
wk;4^OJrx=	心地よい	ここちよい	体や気持ちが気持ち良く感じる様子
t(y20N{&0H	湖	みずうみ	周りを陸に囲まれた水の集まり
Jl:w|RL`+a	王家	おうけ	国のトップとその一族の集まり
ftrpV8y*&.	上昇	じょうしょう	位置や数値が高い方へ動くこと
"hwdJKr#c)b"	素人	しろうと	専門的な訓練を受けていないひと
s&ZZd|CZpq	率いる	ひきいる	集団の先頭に立って導く
tb,Je-<i/G	模様	もよう	表面に繰り返し現れる図柄
LeBN0YB`eA	畑	はたけ	作物を育てるための農耕地
h_OI<?cRdz	是非	ぜひ	強く願う気持ちを込めた言葉
wlm`L0MEh%	敏感	びんかん	小さな変化もすぐに気づく様子
raW^>i0qC-	侯爵	こうしゃく	貴族の位の一つでとても高い
JVfV!aj;o|	切り裂く	きりさく	刃物で物を勢いよく真っ二つにする
s0rYZ]t(B^	遅刻	ちこく	決まった時間に間に合わないこと
PhDoaXgGV>	疲労	ひろう	体が休みたいと感じる状態
EwkH[^$s~<	臭い	くさい	嫌なにおいがする様子
oy@l~jM1AG	消費	しょうひ	金銭や資源を使い減らすこと
"Kf@f7UV#*("	野	の	建物のない広々とした土地
ycQqk=b$!!	眉間	みけん	左右のまゆの中央のくぼんだ場所
yPjAwt,rvQ	進化	しんか	生物が長い時間で変わっていくこと
Oaiu{sABd>	擦る	する	手や布で物の表面をこする
P*?&5muGOR	自殺	じさつ	じぶんの命をじぶんで絶つこと
eN@n`6S]&W	豪華	ごうか	贅沢でとても派手な様子
v*LJRdL=]{	鍋	なべ	料理を作るための金属製の容器
"wlpb-Y#;11"	田	た	米を作るための水を張った農地
l3e|?y8TJ3	上る	のぼる	低い所からたかい場所へ行く
KQU!ds:{5C	残酷	ざんこく	人の気持ちを考えないひどい様子
pK@{{8)_Xb	咲く	さく	花のつぼみが開くこと
rTUK~Kl{B=	勧める	すすめる	良いと思うので相手に進めて伝える
goph$D:!30	孤独	こどく	一人ぼっちでさみしい状態
yal7,&6J.I	潜る	もぐる	水中や物陰に身を隠す
k+]>6xYxf}	到達	とうたつ	目標としていた地点に着くこと
"w,#)K@xJ)W"	昇る	のぼる	天体が空の高い位置へ動く
v]uIQ5Mmml	容易	ようい	苦労せずにできる様子
v%xsCLYe`q	人質	ひとじち	要求を通すために捕らえたひと
"hLpr##{;l7"	弱点	じゃくてん	相手にとって都合の悪い部分
p(%OWTT-Z1	近所	きんじょ	自分の家の周辺あたり
f86GZ2$h/+	顔面	がんめん	人の頭のまえの部分のこと
IiguVd1dbl	可哀想	かわいそう	見ていて助けたくなるほど気の毒
vuB-b[li.,	敗北	はいぼく	戦いや競争に負けること
yChxrlROaT	錯覚	さっかく	実際とは違うふうに感じてしまうこと
qFvW([qEyX	歩む	あゆむ	人生や道をゆっくり進むこと
m=2)l:-Z?<	用いる	もちいる	物事を行うために手段として使う
BIKBb(Mg.S	熱心	ねっしん	一生懸命に打ち込む様子
l{[rmlL5lW	帽子	ぼうし	頭にかぶる日差し避けの道具
Q({{?*UG04	砕く	くだく	固い物を力を入れて細かくする
j:itn=o|bp	次回	じかい	今度の会合や放送のこと
DsdY5v-[dH	前世	ぜんせい	生まれ変わるまえの人生
smy<Xvv0l<	職人	しょくにん	特定の技術に優れた専門家
"wLe#X+Ae)<"	習う	ならう	先生から知識や技能を学ぶこと
E$m1~[@<mU	平民	へいみん	貴族ではない一般の人々
s,Des:{,jb	等しい	ひとしい	比べても差がない様子
E%?30HhD)R	鼓動	こどう	心臓が打つ規則的な音
LFj34Ylz)Y	掌	てのひら	手の内側の平らな部分
Dx6`qalH!y	利く	きく	能力や機能がしっかり発揮される
"qs#ZlQ1Xpb"	池	いけ	庭や公園にある小さな水場
"v2y{/to#tR"	黄金	おうごん	非常に価値の高いきいろい鉱物
ALZ~7~~JpW	班	はん	仕事のために分けた少人数の集まり
P|=dGlr~=C	国家	こっか	独立した統治機構を持つ組織
w|lmEpKehY	装う	よそおう	身なりや見かけを整えること
K{S}?Jkt.W	田舎	いなか	都会から離れた静かな地域
HylqE0H$=l	脅す	おどす	怖いことを言って相手を恐がらせる
G(7`rP$dQW	係	かかり	ある仕事を担当する人のこと
c&}{G9xe{V	皇帝	こうてい	国を統治する最高位の人物
M:P/&2x!-k	撮影	さつえい	カメラで映像を記録すること
qLT{,>gomr	孫	まご	自分の子供が産んだ子供
z0yHCOg?Ri	二日	ふつか	いちのつぎにあたるひづけ
IhpwyF-ku7	弾	たま	銃から発射される小さな金属
j0!`W&d0e!	不審	ふしん	怪しくて疑わしい様子
dWmP[Rk.!8	利益	りえき	活動によって得られる良い結果
gZ{%Cre%iB	反射的	はんしゃてき	考えるより先に体が動く様子
dP:_sWTugR	帰還	きかん	任務を終えて元の場所に戻る
r?U.?.T1T{	潜む	ひそむ	姿を見せずに隠れていること
nlEXka{6fi	光栄	こうえい	大変名誉に思う気持ち
zE(ySjEM!m	支度	したく	出かける前の準備をすること
nl~MD:4&q;	夜中	よなか	よるのとても遅い時間帯
pt5t-TP[Yh	捜査	そうさ	警察が事件を調べること
jE+^hPf](?	夜空	よぞら	星が輝く暗いそらの様子
IUAcCd?+(`	配る	くばる	複数の人に物を一人ずつ渡す
m1Z%p2jK?r	鎖	くさり	金属の輪をつなげた細長い道具
Qncb`]][h)	傍ら	かたわら	何かをする一方で別のこと
l3[hM7JC7&	釣る	つる	水中の魚を針で引っ掛けて獲る
d.^BgWIv*E	傾く	かたむく	まっすぐだった物が斜めになる
c/yLfq9mi,	祭り	まつり	神様を祝う賑やかな行事
j6t%Gs-Q^}	家庭	かてい	かぞくが一緒に暮らす場所
IiZt,l~ctF	弓	ゆみ	矢を射るための細長い道具
ip$f|8V+b:	敷く	しく	物の下に平たく広げて置く
d3|rK[bw}M	気を遣う	きをつかう	相手の立場を考えて配慮する
Qkb9:2DoEg	記す	しるす	忘れないように紙に書いて残す
bkiZfqq$]^	洞窟	どうくつ	山や岩の中の大きな空間
h$Al~M[GB%	慕う	したう	離れている人を懐かしく思う
lnKq~Fiz>]	新聞	しんぶん	世の中の出来事が載った日刊の紙
vk)Ns2^_[_	鮮やか	あざやか	色がはっきりと美しい様子
G24p1}FHXk	硬直	こうちょく	体が固まって動けなくなる
y:wZ4el]&N	執事	しつじ	貴族の家で給仕をする男性
rE6Fdm*aK/	磨く	みがく	表面をこすって綺麗に光らせる
wl$IB_3b>S	賢い	かしこい	物事の判断が早く正しい様子
pbHv49qo]U	祖父	そふ	両方の親の親の男性のこと
xV-IuF-K@j	垂れる	たれる	上の物が下に長く伸びる様子
NaY4WXZ.nQ	爆弾	ばくだん	火薬の力で破壊する武器
b_lJ~)b7*V	財布	さいふ	お金を入れてもち歩く小物
"p#g^y(uw;^"	相性	あいしょう	人と人との関係の良し悪し
t;/{>ZI{xd	仕業	しわざ	誰かが行った悪い行いのこと
wJ}sj+&.$<	大型	おおがた	通常よりおおきいサイズのこと
INqnPM]O7[	弟子	でし	師匠について技を学ぶ人
o/(%!KO=H+	風邪	かぜ	咳や鼻水が出る病気の一種
jVedyA4O]f	絶叫	ぜっきょう	恐ろしくて大声を上げること
xyw;7f,vMj	到底	とうてい	やっても実現不可能な様子
"OQ+@[;w#wT"	拒む	こばむ	相手の要求をはっきり断る
"c`9#T:SkuF"	温泉	おんせん	地中から湧き出るあたたかい水
lI1[:saYRU	潤む	うるむ	目に涙がたまって光る様子
r:]b+:,gO-	振動	しんどう	細かく揺れて震える様子
x<lT7w~1au	名誉	めいよ	社会的に高い評価があること
P!Z|,}i4/u	方針	ほうしん	今後の活動の基本となる考え
K2G-u{~7Td	愛しい	いとしい	大切でたまらない気持ち
i77kA93V$g	哀れ	あわれ	見ていて胸が痛む様子
hnbXb!1MN^	起動	きどう	機械のスイッチを入れてはたらかせる
QJ.orB3kk2	素振り	すぶり	バットなどをふる練習の動作
ok}mO[3.zH	中途半端	ちゅうとはんぱ	どちらにもつかず不完全な様子
hthPv+x(8j	拠点	きょてん	活動の中心として使う場所
j(@:kEj9Yy	寝室	しんしつ	夜にねるための部屋のこと
Do3PEKRK*4	看板	かんばん	店の名前を書いた掲示物
"zGW=qd#Ls?"	先頭	せんとう	並んだ列の一番前の位置
t;zXU]clba	根拠	こんきょ	意見の裏付けとなる事実
"B3hp4vnX}#"	貼る	はる	のりで紙などをくっつける
Dp5B:TYARY	入口	いりぐち	建物の中へはいるための場所
"IW|!D#H{=}"	塩	しお	料理の味付けに使う白い粒
cb={5.-0KW	経緯	いきさつ	物事がここに至るまでの事情
yV;+FPMPgx	履く	はく	靴やズボンを足に通す
F&~us(9G?)	仰る	おっしゃる	目上の人が言う丁寧な表現
tp1|[2:C]L	胃	い	食べ物を消化する内臓の一つ
yn{5O(~I;N	角度	かくど	二つの線が交わる広がり具合
q=/!0|L*.y	久々	ひさびさ	長い間会っていなかった様子
Ng@2U$*(7d	双子	ふたご	同時に生まれた二人のこども
L9Ajs(6RH0	親戚	しんせき	血のつながりのある身内
e^m_e7G~yg	派遣	はけん	人を他の場所に送って働かせる
"BrZHRA_*#v"	大胆	だいたん	思い切りの良さで恐れない様子
fI:]Xf8$y/	目に遭う	めにあう	嫌な出来事を経験すること
h*fQ[k0zxN	経る	へる	時間や場所を通過すること
G<}>3Z0].G	静寂	せいじゃく	音がなくしずまり返った状態
fZ/y0o}jiJ	仰ぐ	あおぐ	顔を上に向けて見上げる
y=im>cFDyD	締める	しめる	紐や帯をきつく縛ること
EQk;7((2zM	覚醒	かくせい	眠りや意識からめざめること
d$z8D<ut]s	撤退	てったい	戦いや計画から手を引くこと
"As#Du&8^oW"	物騒	ぶっそう	世の中が不安で落ち着かない様子
$?+dIiHtS	否	いいえ	相手の問いに同意しない言葉
Ly}H1412cV	徹底的	てっていてき	最後まで行き届いている様子
u]YpHmk~XE	値	あたい	品物に付けられた数字
I$(%9^{sJ]	お土産	おみやげ	旅行先から持って帰る贈り物
T8{=xL;{B	極めて	きわめて	程度が非常に大きい様子
k+KL$.<Yga	癒す	いやす	傷や悲しみを治して楽にする
le+YE{8byL	招待	しょうたい	人を集まりに呼ぶこと
mP.Uru@!RL	丘	おか	周りより少し高い土地
E|6*@BLZ$(	恵まれる	めぐまれる	良い環境や才能にめぐまれる
irckePsC3)	監督	かんとく	チームや作業を指導する立場
QTF7BRy[+x	上司	じょうし	職場で自分より立場がうえの人
"@!H&%`#N<"	造る	つくる	物を材料から作り上げる
HExjf$:}FO	歩	ほ	足を前に出す動作の単位
D6|cK`:2nx	放棄	ほうき	自分の権利や役目を捨てること
v9u_,/PxZG	嗅ぐ	かぐ	鼻でにおいを感じ取る
"g2:G4r5#(x"	上着	うわぎ	服の一番外側にはおる物
fNB!Zcv)93	病	やまい	体の調子が悪い状態のこと
ogOh$L$F%,	瓶	びん	液体を入れる細口の容器
hZ@}?dY1Ti	厚い	あつい	物の上下の幅が大きい様子
dBgG!5[X&m	板	いた	木材を薄く平らに切った物
p,j&{?uKgm	構造	こうぞう	物の作りや仕組みのこと
Q*x+tGNZ4n	雑誌	ざっし	定期的に発行される読み物
Lo2/zuK@ht	分厚い	ぶあつい	上下の幅がかなり大きい様子
"P#.eY2AmM~"	独り言	ひとりごと	誰もいないのに自分で話すこと
A:MQtMC)$8	文化	ぶんか	人々の暮らしや風習の総称
"fow_c$5y#i"	掘る	ほる	地面に穴を開けて下へ進む
M@1y[y+,+o	繊細	せんさい	こまやかで傷つきやすい様子
r$cD]<jY=]	眼前	がんぜん	今まさに目のまえで見える様子
lJ_ISuX.xp	漆黒	しっこく	まっくらで何も見えない様子
k2$~r48+co	凍る	こおる	水が冷えて固まること
yl{dhHOmKE	一致	いっち	二つのものがぴったり合うこと
kZI;TDW%kG	励ます	はげます	元気のない人を支えて元気づける
gq`PnCM[(W	醜い	みにくい	見た目が美しくない様子
Ko^4,YV)As	兼ねる	かねる	二つの役目を同時に持つこと
tJcJe5vGv5	収穫	しゅうかく	農作物をとり入れること
DNC`c/ZDzv	劣る	おとる	他と比べて品質が下の状態
vx>k.^5,o_	分析	ぶんせき	物事を細かく調べて明らかにする
KG/;%e$.HM	凝視	ぎょうし	じっと一箇所を見つめること
dxd:p:8]/v	列	れつ	人や物が一線に並んだ状態
mt}u){(B%N	億	おく	千万の十倍の大きな数字
"z1E[#IkzuU"	迫力	はくりょく	見る人を圧倒する勢い
iu$KhJ=`@R	患者	かんじゃ	病気やけがで病院に通う人
L.?_eKheV3	生地	きじ	服を作るための素材の布
lDJm-:9@Da	在る	ある	物や人がその場所にいること
"Ocn#XF3jx$"	愉快	ゆかい	楽しくて気分が良い様子
"wK;qIR-#ur"	股間	こかん	両足の付け根のあいだの部分
cx:e|?G:*<	建てる	たてる	家やビルなどを新しく作る
EIcnXv<e|R	比較的	ひかくてき	他の物とくらべてみた時の傾向
cc]Eh5GIuM	健康	けんこう	体が丈夫で元気な状態
bBzVf9}BS]	誘拐	ゆうかい	人を連れ去る犯罪行為
QOl*c&=xLc	解釈	かいしゃく	物事の意味をりかいして説明すること
m7c$+`{b>f	退く	しりぞく	その場所から後ろへ下がる
IB:HM|jN2p	余る	あまる	必要な量を超えて残ること
dbz}kxM@5A	盗賊	とうぞく	人から物を奪う悪者の集団
OPJ98Am090	兄妹	けいまい	同じ親を持つ男性と女性の間柄
u$D*syfeBv	爽やか	さわやか	空気が清々しくて気持ち良い
RjlR9_oe{}	噴き出す	ふきだす	水や笑いが勢いよく外へでる
c%~mSrn%>w	館	やかた	大きな邸宅や建物のこと
