Guid	Word	Reading	ContextHint
hfJSlI.o~i	必要	ひつよう	なくてはならないこと
vg$*<=F]AG	終わる	おわる	続いていたものが完了する
Q?ZnV@7o6}	者	もの	その属性を持つ人を指す
vW/]Uau!vY	動く	うごく	位置や状態が変わる
D+l[S.*A{y	帰る	かえる	元の場所へ戻る
jjmCpsmlA*	向かう	むかう	目標や方向に進む
G_$=>Zz^yz	気持ち	きもち	心の中にある感情や感覚
l^t*L:B^cK	変わる	かわる	状態や内容が別のものになる
G{)4khi0C6	確かに	たしかに	間違いなくその通り
s}|C&+8}=j	誰	だれ	不特定の人物を尋ねる語
CYc-W6&6N-	次	つぎ	順番における後続のもの
AAK;q6K0Ka	女	おんな	男性でない性別の人
m$_aG[ZH>+	仕事	しごと	生計を立てるための活動
r.,4Ro%SOq	良い	よい	状態や質が満足できる
i+APtpxE,Q	始める	はじめる	何かを新しく開始する
oiBsE&UvC.	音	おと	物体の振動で生じる聴覚刺激
JPc]J~B>u)	体	からだ	生物の物理的な構造部分
JU):4^<dg%	後	あと	ある時点よりも未来方向
u}DdirgCM,	子	こ	親から生まれた幼い者
"qVD5i/:#?h"	大きい	おおきい	面積や規模がかなり広い
EDq@B@C$|;	教える	おしえる	知識や技を相手に伝達する
Au]DMB|TaN	歩く	あるく	足を交互に出して進む
hyn9GC(`|s	意味	いみ	言葉や行為が示す内容
H~Hr{E<l:}	心配	しんぱい	悪い結果を予想して不安
o);jpZ;R+4	様子	ようす	物事の表面に見える状態
J[HLHXaAM]	名前	なまえ	人や物を区別する呼称
"r#Ac++OQr$"	存在	そんざい	実際にそこにあること
p*BaIlSZSg	受ける	うける	他者からの働きを受け入れる
i-8&g0-%@;	殺す	ころす	命を奪って生きるのを終わらせる
"e42Z-#3(?}"	先生	せんせい	教える職業の人への敬称
"e?,.3|_(#l"	絶対	ぜったい	どんな条件でも必ず
D`G6Qt[c5v	信じる	しんじる	疑わずに真実だと受け入れる
d7DOr(eejX	理由	りゆう	そうなる原因や根拠
lcI[]xJCT_	口	くち	食べ物を摂取する器官
lsu62/1lK9	外	そと	建物や範囲の内側ではない方向
PuVO%i+ia~	逃げる	にげる	危険や不快から遠ざかる
wq?ze,s;3i	忘れる	わすれる	記憶から消えて思い出せない
zO;SU_5ycS	他	ほか	今話題の以外のもの
llUm:L2.pf	問題	もんだい	解決すべき課題や質問
PR9VzbF=y8	今度	こんど	最新の機会。次回
Bdr9&.kXu^	普通	ふつう	特に変わっていない様子
nv/KJ[e$so	心	こころ	感情や思考を司る内面
vOxLb&{V>!	以上	いじょう	基準の数量より上回る
DJ3h}sNc@G	生きる	いきる	生命活動を維持する
m,T!8^,-?$	最初	さいしょ	順序の一番初め
ir<pXaS%7?	最後	さいご	順序の一番終わり
r^?fr^921T	日	ひ	太陽が出ている間の時間帯
Fyuc?I3K?D	守る	まもる	危険から大事なものを保護する
FBh7a,*cm1	間	あいだ	二つのものの隔たり
IC*3hR<C{$	胸	むね	肋骨で覆われた前面部分
QV1.Oq9z}E	表情	ひょうじょう	顔に現れる感情の表れ
B)|}_t/hWQ	多い	おおい	数量がかなりある
w-v=FHn7Fk	楽しい	たのしい	愉快で心が躍る
f%8]T:x3_P	初めて	はじめて	これまでに一度もない
L&N4lzq@)o	無理	むり	実現が困難な状況
OO^NsKx7=n	一番	いちばん	序列の最上位
fABS/b-K$v	高い	たかい	基準より上方の位置
u<+!ky9rUa	欲しい	ほしい	何かを強く望む気持ち
z77S~[qTfj	覚える	おぼえる	情報を記憶に残す
N51xk_*/>7	別に	べつに	特に気にしない様子
J*<5}`S2.g	出来る	できる	物事を成し遂げられる
fX5vQmHF|G	立つ	たつ	足で体を垂直に支える
ysg3G/!ttE	入れる	いれる	ある場所の中に加える
n.-Mt2.Cy8	止める	とめる	動いているのを中断させる
vZb{RPcr^R	開く	ひらく	閉じていたものを広げる
"h*h{h9pY#5"	残る	のこる	他が無くなっても存在する
I{IzEM2%,P	答える	こたえる	問いに対して返す
HB~=zw~XBD	怖い	こわい	恐怖を感じる様子
LK+xjb&mVp	頼む	たのむ	相手に依頼する
o0,>{OlA{_	年	ねん	十二ヶ月で区切る時間単位
F2>JVchTM5	取る	とる	手で掴んで持ち上げる
"D#<|wmS0M{"	全て	すべて	残らず全部
p4W[Cr~e7j	一人	ひとり	単独の人間
n-8cJ5vo+3	助ける	たすける	危ない状態から救い出す
rHuV&K$2a`	状況	じょうきょう	その時の周りの事情
J%I_Z(hX<]	許す	ゆるす	過ちを咎めない
j}k0Y<^8V*	確認	かくにん	間違いないか確かめる
N84O!EV5sj	消える	きえる	見えていたものが無くなる
OW^fhfoo=Q	頑張る	がんばる	精一杯努力する
"FnK#tnHicf"	視線	しせん	目を向ける方向
JVj,zlc3o2	長い	ながい	端から端までの距離が大
E_&Lhs{vfs	驚く	おどろく	予想外にびっくりする
"Jb0Z7bq#8d"	置く	おく	物をある場所に配置する
eC3>=E)hHZ	腕	うで	肩から先の上肢全体
ifFbeg!u]H	以外	いがい	それを含まない残り全て
yYR^LHmC~~	困る	こまる	対処に苦しむ
HrOOK%`uWD	今回	こんかい	現在進行中のこの機会
wh5KP|c=/>	国	くに	領土と住民を持つ政治体
q8R)x^n,y6	離れる	はなれる	距離が開いて別々になる
Dq[ycFDI[=	書く	かく	文字を記録として残す
q~I8$s5WT:	何度	なんど	複数回繰り返すこと
FpZ=?J3X?~	光	ひかり	明るさを生む物理的現象
A0g{P,]tc{	走る	はしる	速く移動する
gxn0U{uzLI	優しい	やさしい	思いやりがあって温かい
h`b7Mpu-!q	嫌	いや	受け入れがたく不快
B$sd_F(kZi	戦う	たたかう	敵と闘って勝とうとする
l|j*><xi[V	全部	ぜんぶ	一切合切。残らず
w-?Xr-?5(M	瞬間	しゅんかん	とても短い時間
JI0T9Sk4lk	夜	よる	太陽が沈んでいる時間帯
E%xY+h+xNb	買う	かう	お金を出して品物を得る
lOhOBgTF3C	説明	せつめい	内容が分かるように述べる
"jyrq6e#_w8"	達	たち	複数であることを示す接尾語
"eXn<#sc2gQ"	飲む	のむ	液体を口から喉へ流す
l.w:KeA++R	決める	きめる	選択を確定する
Cz@&iTX5Yx	理解	りかい	物事の仕組みを把握する
f~1V;Nn=[b	女性	じょせい	成人した女子
K?L<s1:r8E	夢	ゆめ	睡眠中に見る映像体験
xjY2KcKE,`	敵	てき	対立する相手方
@2]UX[x4C	起きる	おきる	横になっていた状態から上体を起こす
s0X;>0`2H|	落ちる	おちる	高い位置から低い方へ下がる
L,4/{QK`!*	足	あし	歩くための下半身器官
f{M@fW$jYK	先に	さきに	時間的に前に
g5?U7Zp7qF	魔法	まほう	超自然的な力を使う技
LS@2U5b,MJ	探す	さがす	見つけようとあちこち捜す
jp^tr!Mz_O	子供	こども	成人に達していない者
h!=P!5[DX*	明日	あした	今日の次の日
gainHe@eJ?	寝る	ねる	横になって休む
tYSO]r)xLY	昨日	きのう	今日の前の日
rBG;~jV1$A	怒る	おこる	不満や怒りを爆発させる
jFnpH!/7oz	伝える	つたえる	情報を相手に届ける
M^I`Wwo$~X	笑顔	えがお	嬉しそうな表情
FMD@XS);M}	小さい	ちいさい	面積や規模が狭い
fn*oQ-ySOW	選ぶ	えらぶ	複数から良いものを決める
iSteV0FDhy	先輩	せんぱい	経験や年次の上の人
s/s43Lo}hD	変	へん	普通と違って不自然
qvcO4}9N(M	読む	よむ	文字を目で追って内容を理解
"x#iS.h-Ywn"	当然	とうぜん	そうなるのが当たり前
tx:Rle^=Z]	情報	じょうほう	何らかの価値を持つ知らせ
jK+AklQ;1F	座る	すわる	腰を下ろして休む姿勢
JED^O]!=n*	簡単	かんたん	手間がかからず容易
e^n_M8vU9M	少女	しょうじょ	年端も行かない女の子
F@g>Fwdiu3	大変	たいへん	労力が大きく困難
"oX03Ig#@}m"	お願い	おねがい	丁寧に依頼する言葉
O|)J1m7]:@	下	した	基準より低い位置
esC;W~>q6F	完全	かんぜん	欠けるところがなく満たされている
LD[2Vs@w@E	後ろ	うしろ	背中側の方向
vR~uKz(GWf	泣く	なく	涙を流して感情を表現
zI[Fv>Kndr	状態	じょうたい	ある時点での物事の有り様
sJTO8%?4qa	娘	むすめ	親から見た女の子の子
d]-eK,LFJ!	進む	すすむ	前方へ移動していく
"h_#D<9ndv6"	関係	かんけい	互いに影響する繋がり
x6%|2N_w6~	奴	やつ	その人を軽んじて指す語
GHE*FIV5!q	奥	おく	入り口から遠い内部
lmJbo=6,l&	軽い	かるい	重さが少なめ
zYJ;6]7%,&	返す	かえす	借りたものを所有者に戻す
w@EIR}hc}0	現れる	あらわれる	今まで見えなかったのが見える
LOGJhpC=^/	痛い	いたい	怪我や病気で苦痛を感じる
L%<qMLC,p,	物	もの	具体的な形のある品
q,*K3%7b-x	隠す	かくす	見えない場所にしまう
"Q/nM#a/9=&"	準備	じゅんび	前もって整えておく
b5OirgB5z1	水	みず	透明で飲用可能な液体
"o|=o#J&pe5"	落ち着く	おちつく	気持ちが穏やかになる
"Do#t=gC+g)"	恥ずかしい	はずかしい	人前で決まりが悪い
PNrm5^{4pQ	場合	ばあい	特定の状況や条件
yps`.Ll0s,	髪	かみ	頭部を覆って生える毛
PNNQ<xq>hw	元	もと	物事の始まりや起源
b:`w:x;Dv3	上げる	あげる	下から上の方向へ移動させる
r^ub&V).:q	得る	える	手に入れる
CG.^O}kX[@	昔	むかし	遠い過去の頃
Dm?Ux6>JTO	勝つ	かつ	競争で優位に立つ
l5:Tv=rhpW	近く	ちかく	距離が縮まっている場所
JuP.Unkg.D	幸せ	しあわせ	満ち足りて嬉しい状態
h9uIQ{%DOc	記憶	きおく	過去の経験を保存したもの
p%_E9c^NuE	反応	はんのう	刺激に応じて示す動作
sHQ))AyXDv	勝手	かって	自分の都合だけで行動
C|Te:(Irv%	攻撃	こうげき	相手を害そうとする行為
f$TH^%^xSm	開ける	あける	閉まっているものを出す
fjkm73O+u>	黙る	だまる	口を閉じて何も言わない
e9]pDnu533	可能性	かのうせい	そうなるかもしれない見込み
MYaH:uje,Z	最近	さいきん	現在に近い過去の時期
s{V1kJv0J=	全員	ぜんいん	関係する者の総数全て
B$Nf!{VNC9	深い	ふかい	表面から底まで距離が大
Kk!TR9;z|A	行う	おこなう	ある行動を実際にやる
I:&,HJW>b-	隣	となり	すぐ横の場所
g]7sAM<%~m	扉	とびら	出入口に設ける開閉式の板
wh(r[[[3ES	指	ゆび	手の先にある五本の細い部分
ORz_J5=5M/	結果	けっか	行いから生じた最終状態
Kc77p6>d4>	与える	あたえる	相手に物を渡す
igk:7cvM92	道	みち	通行のために整備された路
E?6$?K:Tx-	乗る	のる	乗り物の上に載る
uw>ppEpk~F	特に	とくに	他とは違って際立って
qF,}%DH9c6	二	に	一の次の数のこと
"wChuWol#C`"	形	かたち	物体の外部の輪郭
"mRe])PY#)b"	街	まち	商店や住宅が集まる区域
rha4$KLTS*	血	ち	体内を巡る赤い液体
"yUzo;3wd#8"	用意	ようい	前もって準備する
t=5I!_|P.,	負ける	まける	競争で敗北する
QfAw3Ag9,<	神	かみ	宗教で信仰される超越的存在
D9ki[Vn~5&	実は	じつは	隠れた真実を言う時に
G*HCm+vHu5	服	ふく	身に着ける衣類全般
DfIYoKM&d=	不思議	ふしぎ	理解できず謎に感じる
s8=;,.Y!gy	学校	がっこう	教育活動を行う施設
gDO0fCgs4v	意識	いしき	自分や周囲を認識する働き
v*AZQfY]Z.	一体	いったい	疑問を強調する副詞
Kq?|E.z&Sz	送る	おくる	相手の所へ届ける
"m7C|R;*>#("	瞳	ひとみ	眼球の中心にある黒い部分
f@`X:TuUl9	安心	あんしん	不安がなく穏やか
dyRv]V)v/C	失う	うしなう	持っていたものが無くなる
f4-twE<xWK	友達	ともだち	親しく付き合う仲間
t5T~o(aQ1A	剣	けん	両刃の刀身を持つ武器
ocY>CFkbkx	行動	こうどう	目的を持って何かをする
uImj4Eur:F	触れる	ふれる	軽く接触する
eQ]jx.HYc!	失礼	しつれい	礼儀に反する振る舞い
qGdUv@c-bV	皆	みんな	全員のことを指す
hVst|p,q;@	的	てき	狙いを定める対象
"pYa#dP)%D,"	少ない	すくない	数量が十分でない
v%]UF}4]Vw	結局	けっきょく	あれこれの挙げ句
fvxR<f~+R&	空	そら	見上げた先に広がる青い領域
cT5r67iQg>	任せる	まかせる	全てを相手に委ねる
N,$$eb{z~(	赤い	あかい	血や夕焼けのような色
CB1BglE,rn	大事	だいじ	大切でおろそかにできない
Nl+.x31nRl	朝	あさ	夜が明けて間もない時刻
"me<dv#4HCO"	命	いのち	生きている源の力
io.W{SR6&@	結構	けっこう	十分満足できるレベル
v%Sqs1|:}p	新しい	あたらしい	できてから間もない
wEGTff51k-	程度	ていど	状態の度合いや水準
p>g).Ycckt	難しい	むずかしい	簡単にできず苦労する
Gm;fr`e6)Y	壁	かべ	空間を仕切る垂直な構造物
o3G{IY&((=	約束	やくそく	将来の行動を互いに決める
OmAIN9k}|O	面白い	おもしろい	興味を引かれて楽しい
NDEnSV%.Xh	背中	せなか	体の後ろ側の面
ng.r=>HA[0	気付く	きづく	今まで気づかなかったことに気づく
gP)wTVL]1]	渡す	わたす	手渡しで相手に届ける
o@983E/jXk	喜ぶ	よろこぶ	嬉しくて表情や態度に出す
wvV@K.VwP<	可愛い	かわいい	小さくて愛らしい
bI6-2s2:tK	元気	げんき	体や心が活発で健康
iWI|@tJ!LO	色	いろ	光の波長で認識する視覚属性
"e.#:4]xWyj"	認める	みとめる	事実や価値を肯定する
"bP$zZ*W>#C"	急	きゅう	突然の変化や迅速な行動
L3}qz(brCM	求める	もとめる	必要なものを欲する
D.c(HEk~Y4	肩	かた	腕の付け根の関節部分
H=2TxM/5rP	過ぎる	すぎる	基準の範囲を越える
F(v6XCS3PQ	仲間	なかま	同じ目的を持つ集団の一人
"L=o#T|,Z-N"	家族	かぞく	血縁や婚姻で結ばれた集団
b;M3`=FO*7	突然	とつぜん	前触れなく急に
IUi]WZ6xli	自身	じしん	その人を強く指し示す言葉
KLpYH[@2w?	再び	ふたたび	もう一度
qTcD9:^~[7	静か	しずか	音がせず落ち着いている
g+G>4!I4+t	飛ぶ	とぶ	空中を移動する
QJ?+hp}U2>	届く	とどく	目的地まで到達する
N2odzH~WJW	生む	うむ	新しい命を世に出す
Pcc5OS/M0D	倒す	たおす	相手を打ち負かす
pyyu%o(X@E	似る	にる	外見や性質が同じよう
oX^XzAO,Fb	空気	くうき	周囲を取り巻く無色の気体
f6~k=yD289	腰	こし	胴の中央のくびれた部分
HEKs?ZH1/s	危険	きけん	害や損失の恐れがある
t0oL~_6L%?	熱い	あつい	温度がかなり高い
k48VLf]FNB	済む	すむ	物事が完了する
DhH>$<iC}K	慌てる	あわてる	驚きで落ち着きを失う
n05w8oEp6E	周囲	しゅうい	あるものを取り巻く範囲
B8YUP6ub;u	通り	とおり	両側に建物が並ぶ道
Mc?d,@Dur)	想像	そうぞう	実際に見ていないことを思い描く
t?*g=X8S>T	店	みせ	商品を売る場所
HbChKkwd|8	浮かべる	うかべる	心に思い描く
rp|R$Mo(rn	目的	もくてき	達成しようと目指す事柄
m0T,=HZu7l	眠る	ねむる	意識を失って休む
gLYgjG::p>	十分	じゅうぶん	足りていて不足がない
dHJ5+.7qF+	料理	りょうり	食材を加工して食べ物を作る
NB1m1$&X/d	頃	ころ	だいたいその時分
N-4ZHebub-	妹	いもうと	自分より年下の女性きょうだい
dKc&r}ty_E	正直	しょうじき	偽りを言わない様子
q`gQTe4:+{	所	ところ	特定の位置や地点
Anc/I6S>3_	父	ちち	自分を生んだ男性の親
fr6Qhmbdvl	身	み	生物の体そのもの
PnXw2i}*?V	美しい	うつくしい	見ていて心地良いほど良い
m*+tsqkoZ5	甘い	あまい	砂糖のような味
h*XOpGFQKV	首	くび	頭と胴体をつなぐ部分
b;[s/T/8x/	周り	まわり	あるものを取り囲む外側
DS2pYgh=@8	遅い	おそい	標準より時間がかかる
KdEs/PY+@c	会話	かいわ	互いに言葉を交わす
wF?ZtM.3lw	合う	あう	条件や状態が一致する
oC($_w+U/-	森	もり	木々が密集した広い土地
N94zdJX+OM	能力	のうりょく	物事を成し遂げる力
kN)AC1QCu[	震える	ふるえる	恐怖や寒さで体が小刻みに動く
e<;%7.Lg|^	期待	きたい	良い結果を予想して望む
sx&!a~X+Q|	無事	ぶじ	問題がなく安全
j2-;3xa1R<	耳	みみ	音を感じる感覚器官
"Gn5#pcAL$w"	移動	いどう	別の場所へ移る
y86nU4a5`r	邪魔	じゃま	妨げになって迷惑
eGKC_n5])o	遊ぶ	あそぶ	楽しむために活動する
LfnwUyuPmp	無い	ない	存在しない
lj`gvf*_%&	唇	くちびる	口の周りの薄い筋肉部分
h$NM.wkfya	着る	きる	衣服を体にかぶる
nhnOw}Byr;	以前	いぜん	今より過去の時点
"zC$#:VO#y>"	襲う	おそう	不意に攻撃する
EbmvH&%rEV	母	はは	自分を生んだ女性の親
