Guid	Word	Reading	ContextHint
nhCYO.Pf|g	意志	いし	自分で決めて行動しようとする気持ち
uF5zGk1o]K	下手	へた	技量が足りずうまくできない様子
B({!bgP-E{	祈る	いのる	神様や仏にお願いする
ARDw/@u{2T	数日	すうじつ	二日から一週間くらいの間
hzJ>1,w,[$	午後	ごご	昼を過ぎた時間帯のこと
OiW4wsf7]r	歌う	うたう	声に出してメロディーを奏でる
JN5;RJrb~C	弾く	ひく	楽器を鳴らして音を出す
e<TX_?6Zk<	地獄	じごく	悪いことをした人が行くと言われる場所
PiiBdWeW:.	年齢	ねんれい	生まれてから経った年の数
z6;tL@uJL?	携帯	けいたい	街中で皆が持っている小さな電話機
za;YXoiF-f	親父	おやじ	自分の父をくだけて呼ぶ言葉
Hhgd.rVAXI	契約	けいやく	双方で取り決めた正式な約束
v,I.;otgof	永遠	えいえん	時間が無限に続くこと
u5)4paDKlQ	呪い	のろい	恨みを込めて相手に災いを願うこと
F+4?Cz*A6k	組	くみ	学校や仕事で分けられた小集団
D}@JD4a)v0	眼	め	顔にあって物を見るための器官
Ky|).s)5BU	踊る	おどる	音楽に合わせて体を動かす
E&hZh)z)8%	目覚める	めざめる	眠りからさめて意識が戻る動作
ee,j?EJ&P`	事故	じこ	予期せぬ出来事で被害が出ること
Qo!8^Ky~Tf	袋	ふくろ	物を入れるための布や紙の入れ物
zfSWu;W&EC	派手	はで	目立つように華やかな様子
OzE4!uAwn9	東	ひがし	太陽が昇る方角のこと
Nmnw5]6KsH	基本的	きほんてき	物事の土台となる部分に関する様子
t,_5i+0<aE	油断	ゆだん	注意が足りず失敗を招くこと
q})MGeTx{p	終了	しゅうりょう	物事が完全に片付くこと
"LDcd#,pI<#"	仮に	かりに	もしもの場合を想定して言う言葉
l-Avlnzz%n	お菓子	おかし	甘い味のする食べ物全般
OHkksfX)	八	はち	七の次に来る数字のこと
"z-Ob,`#b.<"	新	しん	できたばかりで古くない様子
p.7~hdyjdv	王都	おうと	王様が治める中心の街
wzpuTZJf`=	染まる	そまる	色が付いて変化する様子
IBJ2AzOrXR	部隊	ぶたい	軍の中で分けられた集団
zD4wLs<{bQ	庭	にわ	家の外にある植物を育てる場所
CKvK;qgH/`	特殊	とくしゅ	一般的ではなく特別な性質
qoivF_GBkL	陛下	へいか	王様に対する最高の敬称
uFGn>ZD7~&	底	そこ	容器や海の一番下の部分
bkx!Zi|7ey	丁寧	ていねい	相手に対して礼儀正しい様子
"vZj#ZT8LPR"	一枚	いちまい	紙や皿のような平たい物を数える言葉
NQ!hEGL[98	範囲	はんい	物事の及ぶ限りの広がり
g*IgU[!mj8	美人	びじん	顔立ちの整った女性のこと
waj*<rt..?	技	わざ	訓練で身につけた特殊な能力
pAI1.%YSj.	将来	しょうらい	これから先の時代のこと
Q$e1:Yt2mS	記録	きろく	出来事を書き留めて残すこと
C)QQue%.F(	骨	ほね	体の中で硬くて内臓を支える部分
Pj7U|x;l(u	目標	もくひょう	そこに向かって頑張るべき地点
gb@SpA)kA~	冬	ふゆ	秋の次に来る寒い季節
"k#%UTV|J0C"	捜す	さがす	見えないものを一生懸命探す
hP)1*05x6O	布	ぬの	服などを作るための薄い素材
C1bc63n2p-	種類	しゅるい	同じ特徴を持つ仲間の集まり
k0TzG0$BxG	景色	けしき	外に出て見える自然の眺め
Pt0hGceMlD	加える	くわえる	既にあるものにさらに足すこと
odqHUY)pu|	収まる	おさまる	物が入るべき場所にきちんと入る
byI0z-(K*o	組織	そしき	複数の人が集まって作る団体
sm9/Y:3zsq	埋める	うめる	空いている所を何かでいっぱいにする
e!$+!s-uOU	戦場	せんじょう	軍隊同士が戦い合う場所
J0eCo8SAX-	姿勢	しせい	背筋を伸ばした体の構え
