Guid	Word	Reading	ContextHint
GkvR{2tZdc	運命	うんめい	人生を左右する大きな流れ
BCx~5B8U~B	術	じゅつ	特別な技能や秘伝の方法
bz71JQE,o*	案内	あんない	場所や道を教えること
kbPZiEHh-*	努力	どりょく	目標のために頑張ること
Dm:$tvd{!Z	心臓	しんぞう	胸の中で血液を送る器官
h9/<t.lgSd	荷物	にもつ	旅行の時に持つ重い物
"fmoNS#3~AI"	伸びる	のびる	草木が長く大きく育つ様子
zo.0zxTMmN	両親	りょうしん	自分を産んでくれた二人
DX$g=^u?FV	量	りょう	多いか少ないかを示す概念
A8nxT7ezqy	払う	はらう	代金としてお金を渡す行為
L/Z{Ap/I>F	辺り	あたり	ある場所のその付近一帯
lbn>0pBLS8	開始	かいし	物事を新しくはじめること
tp1NCj_b5l	解放	かいほう	束縛から自由にすること
J~R!?vK*Wg	獣	けもの	森の中に住む野生の生き物
FU9Gn&|/*&	建物	たてもの	人が中で活動するための構造体
lc@0h7aLo$	扱い	あつかい	人や物に対する対応の仕方
H2MHt&_kMK	系	けい	同じ特徴を持つグループ
B2F,^%hQx5	口調	くちょう	相手に対する話し方の調子
Q/uZH><U!P	真面目	まじめ	遊び心がなく誠実な態度
DnZ[=k-C`L	更に	さらに	その上追加で程度が進む
CCBP]v<J%j	影響	えいきょう	他に及ぼす作用や効果
uo9[Jcs1/m	真っ赤	まっか	血のように鮮やかな色合い
z)&QREo[2C	発見	はっけん	今まで知られていなかったものをみつける
E$Lx=9|+Bl	支える	ささえる	倒れないように下から保つ
QVN3SBjGM4	第一	だいいち	優先順位が最も高いもの
K}?~hfT3Zp	机	つくえ	勉強や仕事に使う家具
"o#NG>nii2B"	遅れる	おくれる	約束の時刻に間に合わない
ggAf<(:-On	車	くるま	四つのタイヤがついた乗り物
K!7s?aSD-2	展開	てんかい	物事が次々と繰り広げられる
pp&S:N$gqG	学園	がくえん	生徒が集まって学ぶ施設
zJ:*Qh8ZL[	怪しい	あやしい	本当かどうか疑わしい様子
Kj)VJ+;{8~	型	かた	同じ形状を複製するための原型
pj{K{G2Dbk	右手	みぎて	多くの人が箸を持つ方の腕
iF{n*0g^*m	偶然	ぐうぜん	予期しない出来事が突然起きること
Ey2BF2LJ+.	柔らかい	やわらかい	触ると弾力があるさま
zhk(n.I8%:	感触	かんしょく	物に手で触れた時の感覚
s[En?@?D30	壊れる	こわれる	機械が動かなくなったり破損する
FTyh$qsZMg	苦手	にがて	自分にとって不得意な分野
lmirspsvl^	試す	ためす	本当かどうか確かめてみる
CiN{s86Sku	立派	りっぱ	堂々として非の打ちどころがない
s9*mW`TMHb	一歩	いっぽ	前に進むための小さな動作
c|4(zZPW(:	弟	おとうと	自分より年下の男性きょうだい
zD`{GB+,Tw	提案	ていあん	会議などで意見を出すこと
ri-`|O@heU	責任	せきにん	自分がやったことに対する義務
tAXQ}s=Ek-	抑える	おさえる	感情や動きを無理に止める
"bh*#>8[_iE"	客	きゃく	店や家に来る外部の人
i=_ik3Lkg>	王国	おうこく	王様が支配している国
g-:q+&,`Mz	抵抗	ていこう	外力に対して逆らう力
Kx/2DACK.V	混乱	こんらん	物事が入り乱れて整理できない状態
M{]tqJF(nU	条件	じょうけん	何かをするために必要な約束事
g&5xosVC=E	為	ため	目的や理由を表す言葉
pLC;@}JbPV	迷惑	めいわく	他人に嫌な思いをさせること
C)S5Y?eBIo	例	れい	説明の時に示す具体的事柄
z-;FUL?89f	頼る	たよる	他の人の助けをあてにする
B(}y,!2@e0	完璧	かんぺき	欠点が全くなく非の打ち所がない
pZ`%FPh&Al	日々	ひび	毎日毎日続く普段の生活
AW.0d%NCoX	行為	こうい	人が意識的にする動作や行動
J@IWyh9{N~	減る	へる	数量がだんだん少なくなる
wy2FzP?cZa	思考	しこう	頭の中でいろいろ考えること
ma,KGT{kkA	解決	かいけつ	問題をなくして終わらせる
vgh0.43YNl	冷静	れいせい	感情に流されず落ち着いている
zR{N1vd=2m	天	てん	空のずっと上にある大きな空間
ogopXsxn[.	己	おのれ	自分自身を指す古い言い方
E3^0i.M~?Q	四	よん	三の次に来る数字のこと
"v=?)#{w&=>"	常に	つねに	いつも変わらず同じ状態で
P-YZZ6<L`N	犯人	はんにん	悪いことをした疑いがある人
K_U%10+;r:	訳	わけ	物事の理由や事情を説明するもの
OV{C6i+I{w	許可	きょか	何かをしても良いと認めること
MxeD}O8)[g	閉じる	とじる	開いていたものを元の状態に戻す
Loc&[ba5BP	重ねる	かさねる	物の上にさらに同じ物を置く
L_=y&K)~K]	細い	ほそい	太さがなく線のような様子
ti;l=uRA7t	久しぶり	ひさしぶり	長い時間が経って再会した時の挨拶
CrB@j{fejL	目立つ	めだつ	周囲より強調されて見える
N~:M_>)={f	到着	とうちゃく	目的地へたどりつくこと
Hq^K15,`r:	抱きしめる	だきしめる	愛情を込めて強く人をかかえる
opAb@?O[|K	通う	かよう	決まった場所に繰り返し行く
G7Tyn~op1D	殴る	なぐる	拳で相手を強く打ちつける
gER+6?P-=*	引っ張る	ひっぱる	物を手前に強く引き寄せる
c-?BNCQqQ`	了解	りょうかい	相手の言ったことを認めて承知する
lyXT4q<wS3	戦争	せんそう	国と国との間の武力による争い
z!:t+*b{9-	寒い	さむい	気温が低くて体が冷える感じ
nJ$<l7t1Ds	酒	さけ	大人が飲むアルコール入りの飲み物
KB;-qmGiv_	恋人	こいびと	お互いに愛し合っている相手
r`EWio4&oT	一切	いっさい	否定と一緒に使い全部という意味
Mq`-ZMI1bQ	穴	あな	地面や壁にあいた空洞
H.JF7]*)Qg	依頼	いらい	人に仕事や用事を頼むこと
"bvAv#[,,l~"	青い	あおい	空や海のような色合い
"g;,#,]gBBn"	辛い	つらい	精神的な苦痛が大きく耐え難いさま
IBV[Pd&sYO	光る	ひかる	暗闇で明るく輝く様子
dOXNhb6gd	苦労	くろう	大変な努力や苦しい経験を重ねる
"P#z?U@RiF)"	罪	つみ	法や道徳に反する行い
LI>s_oFGDs	授業	じゅぎょう	学校で先生が生徒に教える時間
Nu+WD(ue%n	最悪	さいあく	状態がこれ以上ないほど悪いこと
Q=[8/6G,OX	何故	なぜ	その理由をたずねる時の言葉
yJL+I|F~cu	式	しき	祝い事などの正式な催し
"Gn#KHK*FlS"	人形	にんぎょう	人の形に作られた遊び道具
fusmcjw&gX	結ぶ	むすぶ	紐の端を組み合わせてつなぐ
lkRA@)g!ok	計画	けいかく	未来に向けて事前に立てる予定
fG(g/z0A5{	囲む	かこむ	真ん中を周りから取り巻く
"ps]#VkrtPV"	知識	ちしき	勉強や経験で身につけた内容
Eqrl~S^WGy	注意	ちゅうい	気をつけてよく見たり聞いたりすること
fBxr@qaEY^	経つ	たつ	時間が過ぎ去っていく
B(uWj1MBj{	問う	とう	相手に話しかけて答えを求める
jldIKBv);d	申し訳ない	もうしわけない	謝るときに使う丁寧な表現
ONGmx5(xQn	汗	あせ	暑い時や運動した時に体から出る液体
DRbk(&@Uv^	異常	いじょう	普通の状態と明らかに違うこと
ClC`!:9_wc	非常	ひじょう	程度が極端で普通ではないこと
flH`f-*e(K	膝	ひざ	座るときに地面につける脚の関節部分
"DVN<1#Mv&|"	馬車	ばしゃ	馬に引かせる昔の乗り物
