Guid	Word	Reading	ContextHint
PstTUV5T9`	慣れる	なれる	何度も経験して平気になる
u!IxV>}1{}	一応	いちおう	一通りやっておく様子
Ke>IDvs<-H	引く	ひく	手前に寄せる
IFd^={.93L	海	うみ	広大な塩水の水域
GM0vf{v37_	諦める	あきらめる	望みを捨てる
E+4G>Ky7?t	必ず	かならず	例外なく確実に
"hJw~W#PZUd"	狙う	ねらう	目標を定めて攻撃を仕掛ける
A>)Cc7~e{;	必死	ひっし	死ぬ気で全力を尽くす
Q$pR)G:lEa	珍しい	めずらしい	滅多に見かけない
LZ;riB%6Dq	報告	ほうこく	状況や結果を知らせる
x^D)^v}yu3	握る	にぎる	手の指でしっかり掴む
E(={}VTjOy	結婚	けっこん	夫婦の契りを結ぶ
JQWcc2Bvs9	三	さん	二の次の数のこと
d(Y0n<cF]%	感謝	かんしゃ	ありがたく思う気持ち
ko.]@3cY-$	激しい	はげしい	勢いや程度が極めて強い
LKl6P2_(TR	仕方ない	しかたない	どうにもならない様子
"dj,P#%]D=y"	疲れる	つかれる	体や心がくたびれる
"n?m)t#/oyT"	生活	せいかつ	毎日を送る営み
isgM[2@uR|	愛する	あいする	深く大切に思う
MDZBrc^=ua	冷たい	つめたい	温度が低く感じる
b)ot)[~1E[	捨てる	すてる	不用なものを処分する
I1Ydmrasc$	食事	しょくじ	栄養を取るための飲食
y|<{7Z&a{q	働く	はたらく	体や頭を使って職業に励む
oI<AQQ@PDp	風	かぜ	空気の流れ
oW3;$/~0np	黒い	くろい	墨のような色
cy`}W7v&eL	足りる	たりる	必要な量に届く
jkzf-W$&3u	判断	はんだん	物事の良し悪しを決める
JY5U~j*d3u	未来	みらい	まだ来ていないこれからの時
H/37=GwKDq	食う	くう	食物を口に入れて食べる
s&-06*2`Q5	手伝う	てつだう	相手の仕事を助ける
ywP`TcR-/+	大切	たいせつ	価値があって大事にする
D8UZU<(v&d	花	はな	植物が咲かせる色鮮やかな部分
wy?e:yi5G_	謝る	あやまる	過ちを詫びる
"I)9#+U49+h"	奪う	うばう	強引に取り上げる
f~Gf,)$ofH	勢い	いきおい	物事の盛んな力
LTk~yvJZXb	涙	なみだ	感情で目から出る液体
p;^$fnS_Q`	全く	まったく	完全に。まるっきり
nC)$gZUP,S	雰囲気	ふんいき	その場の漂う感じ
d7Pa/%f.`$	望む	のぞむ	そうなってほしいと願う
g]&m%LLWm~	緊張	きんちょう	張り詰めて堅くなる
N)A:TnD*bR	歳	さい	生まれてからの年数
DQ18NNS_(T	救う	すくう	危険や苦しみから助け出す
g@85X1gn;)	自ら	みずから	他人に頼らず自分の意志で
L4rkH%@jnV	地面	じめん	足の下の固い表面
K@`38MOSu$	失敗	しっぱい	目的を達成できないこと
BIMh5JV`<(	避ける	さける	危ないものに近づかない
nTEz_8qqx}	窓	まど	壁に設けた明かり取りの開口
Fi!7xl@<L>	お母さん	おかあさん	自分の親である女性の呼称
bv>MvvZvRw	素直	すなお	反抗せず従順な様子
c/?{mcbrB:	肉	にく	食用にする動物の部位
zt8BDkz_DN	冗談	じょうだん	人を笑わせるための言葉
nUzISN%ct)	余裕	よゆう	心や時間にゆとりがある
b)g~yh+n3>	連絡	れんらく	互いに情報を伝え合う
rss`YEh_S^	人生	じんせい	生まれてから死ぬまでの道
q]gVlaUW}t	放つ	はなつ	勢いよく飛ばす
dz5.&<Yp@8	内	ない	ある範囲の中側
PhN9c<XyhL	嫌い	きらい	好きでない感情
E&HDn?}`Uj	流れる	ながれる	液体が低い方へ移動する
thr_z0Lq8r	両手	りょうて	左右二つの手
n8}31/1R$r	増える	ふえる	数量が多くなる
jgm%WhqKJ8	繰り返す	くりかえす	同じことをもう一度やる
HXZV-StFR$	我慢	がまん	辛さをこらえて耐える
Oo]sI(ZBLS	我々	われわれ	話し手を含む集団を指す
L)Q9`1,L^!	感覚	かんかく	五感で感じ取る働き
"E-A#,SmgwY"	響く	ひびく	音が周囲に伝わる
Fld?YPscJs	同時に	どうじに	同じ時に行う
O~pKaUH^!8	山	やま	周囲より高く盛り上がった地形
QDq>(X-(Jl	当たり前	あたりまえ	疑う余地がない当然のこと
om7<DA}4K~	予定	よてい	事前に決めた計画
"rT8?Yv#mW["	残念	ざんねん	期待通りにならず悔しい
A%nlwqoNiW	毎日	まいにち	一日たりとも欠かさず
Ff-/F=MmpY	追う	おう	先を行くものに後ろから従う
kp4jXh1lkh	若い	わかい	年齢が少なく元気な様子
IO[8Lj::5o	過去	かこ	今より前の時点
9v[c.Mvx/	気配	けはい	何かの存在を感じさせる兆し
l7!ja2O*}~	町	まち	人家や商店が集まる地域
cdjrMs}HNZ	現実	げんじつ	夢ではない実際の状態
qmtXs/5x{<	決して	けっして	どんなことがあっても絶対
ACvi]o%%*o	騎士	きし	中世の中堅以上の戦士階級
mCQNLOq=_1	と共に	とともに	一緒に行動すること
It[g@.=s+x	床	ゆか	部屋の足元の平らな面
ASiOr9?=M>	横	よこ	左右の方向
bsV:}Ts,Z.	休む	やすむ	疲れを取るために作業を止める
I,MpD90yxr	振り返る	ふりかえる	後ろを向いて見る
q(mr.Uq.U$	質問	しつもん	分からないことを尋ねる
EhO]F.anOp	興味	きょうみ	関心を持って知りたい気持ち
D4{LKusvTt	距離	きょり	二点間の隔たりの長さ
xD/Pe00Jx/	内容	ないよう	物事の中身の詳細
jWAfUY8=3d	回る	まわる	軸を中心にぐるりと動く
"Gf[D^#t]cs"	並ぶ	ならぶ	一列に整列する
s~k-?x+G|_	住む	すむ	一定の場所に居を構える
F7aMA(nE(K	金	かね	取引で使われる価値の媒体
Fjr:pEYE7/	自然	しぜん	人間の手が加わらない状態
I-)YI5$jww	勉強	べんきょう	知識や技術を身につける
w*M~]yj+!9	眺める	ながめる	じっくりと見渡す
"zzj#q|T4Di"	普段	ふだん	特別でない日常の時
i*0JPe|pyt	運ぶ	はこぶ	物を別の場所へ移す
i4MoIxyJ)h	弱い	よわい	力が少なくて抵抗できない
lt3GubA}E_	貴族	きぞく	特権を持つ上流階級
eVIJC:a=U`	広がる	ひろがる	範囲が大きくなる
NcnR%/e^5e	頬	ほお	顔の左右のふくらんだ部分
