Guid	Word	Reading	ContextHint
"O#ebI}w]8g"	損	そん	得しない状態になること
wT%GQQs2Yp	美貌	びぼう	顔立ちがとても優れていること
nm|euM~s9H	冷蔵庫	れいぞうこ	食べ物をひやして保存する電化製品
eiS38;06W!	夫人	ふじん	既婚の女性に対する丁寧な呼び方
CuVQ}{-F0y	止む	やむ	雨や風などの動きがなくなる
iOtffn,e}Y	蓋	ふた	容器の口をふさぐための部品
jDSmIN$X~k	偽物	にせもの	ほんものに似せて作ったにせの品
"L8%F5#3C#Z"	数分	すうふん	ほんの短い時間のこと
dp,Nv~$sLj	生涯	しょうがい	うまれてから死ぬまでの期間
x5Z$d?(wk,	死亡	しぼう	命の活動が終わること
kJzG;viNJS	箇所	かしょ	特定のばしょや位置のこと
"MY^US5!>#("	弾丸	だんがん	銃から発射される金属の粒
m&dS3a76>p	宝	たから	価値が高く大切にされるもの
na}~@:OFpw	膨大	ぼうだい	量や規模が極めておおきい様子
KJN`G!*mFY	密着	みっちゃく	ぴったりとくっついて離れない
I|Oq@7!LJ,	詠唱	えいしょう	魔法の言葉を声に出して読む
"O&V?-Dn*#H"	お陰で	おかげで	そのおかげで良い結果になった
fDQQzPv0w-	旧	きゅう	新しくない方を指す言葉
A_7zFG,W|p	強張る	こわばる	きんちょうで体が固くなる様子
fYo%p:_Uu2	気軽	きがる	心配せずに楽にできる様子
"G>b%~[-#h."	印	しるし	めじるしとして付けた記号
N{=IiAE$;!	悲劇	ひげき	かなしい結末を迎える出来事
"z#xfm-!I#s"	副	ふく	主の次に位置する補佐役
C*GRSD):fk	妨害	ぼうがい	物事の進行を邪魔すること
s!Cu6s<aDQ	華やか	はなやか	派手で目を引く様子のこと
Mj-S75yF+B	案の定	あんのじょう	予想通りの結果になった様子
C`1/{&2Nm_	里	さと	田舎にある小さな集落
dCdlbh[/-r	経営	けいえい	会社や店をうんえいすること
nL}uEToI9M	豚	ぶた	食用に飼われるピンク色の動物
n_!}bjz4&Y	群	ぐん	多くの個体からなる集まり
FIK1%yw1vy	滅多	めった	ほとんどない頻度で行う様子
"u:%!|FL#@y"	身構える	みがまえる	危険に備えて体の準備をする
rK2{TWZ_Gx	突如	とつじょ	何の前触れもなくとつぜんに
t*WOu4=(&o	無謀	むぼう	危険を考えないむちゃな行動
gP,<M,}e2s	瞬き	まばたき	目を閉じたり開いたりする動作
yu)$_ksjA2	渦巻く	うずまく	水や風が円を描いて回る様子
uEN4!1FVC,	黄色い	きいろい	レモンのような明るい感じ
g$=H}L|}PB	荒れる	あれる	天気や海の状態が悪くなる
NX_X*T-%eS	阻む	はばむ	進もうとするものを止める
yL%.+4,jwq	文章	ぶんしょう	言葉を連ねて書かれた内容
"z0K5h(W#]R"	託する	たくする	大事なことを人に任せる
jt]R=dHyC1	企む	たくらむ	悪いことをひそかに計画する
hGWVC[Qdy&	何処	どこ	場所を尋ねる時の言葉
vmN><*|3vd	頂点	ちょうてん	物事の一番上の場所のこと
OY9D0;;8pt	頂戴	ちょうだい	人に物をねだる丁寧な表現
F&r^S]lF]g	方角	ほうがく	東西南北などのほうこうのこと
i8Qkl<8Ht3	跳ぶ	とぶ	地面を蹴って空中に浮く
d@]5-C+&wl	赴く	おもむく	ある目的地に向かって行く
"pD<#_<,=[9"	博士	はかせ	大学で最高の学位を持つ人
L||I]b0zND	放送	ほうそう	テレビやラジオで情報を流す
b*.CsM[Gpt	閣下	かっか	高位の人物に対する敬称
QP.9=JYfUM	鋼	はがね	鉄を加工して強くした金属
z;%9t}EokL	乳首	ちくび	胸の先端にある突起部分
m{oq;{6mhJ	開催	かいさい	会議や行事を行うこと
iNT!(?5`42	苛立ち	いらだち	落ち着かない焦りの気持ち
C&?ht7Z(3x	憎悪	ぞうお	相手を強くにくむ気持ち
gxYuy3Z;A[	概念	がいねん	物事の大まかな捉え方
FTT?KG6R)%	懇願	こんがん	心から強くたのむこと
yWiYEd{V&A	痕跡	こんせき	何かがあったことを示す証拠
g89CX.*|q3	観る	みる	映像や演技を意識して見ること
e_a]}t:>7[	芯	しん	物の中心の部分のこと
dwU&kQYM12	油	あぶら	料理や機械に使う液体
APpPz@~B;*	何気ない	なにげない	意識せず自然なふるまい
"l)BF|EB#v!"	平穏	へいおん	落ち着いて静かな日々の状態
"F#Y$KPJ&:Z"	枠	わく	物の周りを囲む縁の部分
"fak|;#umB7"	小僧	こぞう	年下の男の子を呼ぶ親しみの言葉
e6heK:C7Dk	堪能	たんのう	その道に非常に優れている様子
r%Y.}ddA,w	刹那	せつな	ほんの一瞬の短い時間
PB0]1_gl(c	囚われる	とらわれる	心や体が束縛されて自由でない
"QV8d/ug/1#"	拷問	ごうもん	自白させるための激しい苦痛
p=^VLg_;s1	行方	ゆくえ	居場所がわからないこと
vh_l)rW;sO	教科書	きょうかしょ	学校の授業で使うための本
"cm#kDKwVWK"	前髪	まえがみ	ひたいの上にある短い毛
yW)y`VO59/	却下	きゃっか	提案や申し出を断ること
J3?d:X`ocr	検討	けんとう	よく調べて考えること
jn+!&6wo@8	毛布	もうふ	寝るときに体にかけるもの
g(&95QFZ2y	成す	なす	目的の形に仕上げること
ewyqcU1e|3	知恵	ちえ	物事をうまく処理する能力
l|$Hz.Tvbn	澄む	すむ	水や空気が濁りなくなる
D}I@_DR^r@	手作り	てづくり	機械を使わず人のてでつくる
C4m%kbUVVs	工場	こうじょう	製品を大量に作る施設
M)u(@vNOv@	修理	しゅうり	壊れたものを直すこと
kCp~dX:<]]	同僚	どうりょう	一緒に働いている仲間
Jd`^G2Uxvz	天国	てんごく	死後に行くと言われる楽園
Mp,cwjLI!e	獲得	かくとく	努力して手に入れること
P*c1~cQ^Wv	尋常	じんじょう	普通で特に変わらない様子
zNf6xsI*Sb	唾液	だえき	口の中にある水分のこと
N.-p36w9p)	救出	きゅうしゅつ	危険な場所から助けだすこと
"eA/dr7#0|V"	墓	はか	亡くなった人を埋葬する場所
hGoLR8^H7~	広大	こうだい	面積が非常におおきい様子
MOo2-`crE{	何百	なんびゃく	ひゃく以上の大きな数のこと
E{UE}2?fv|	軌道	きどう	天体や列車が通る決まったみちすじ
r`e?91Ig%)	圧力	あつりょく	外から加えられる強いちから
jjLP-f3yQv	判る	わかる	物事の意味がのみこめる
p4+*:sC3L4	破片	はへん	壊れて飛び散った小さな部品
nZ=y|5{aa;	手助け	てだすけ	困っている人のために力を貸す
Q[sT[G*(Pk	政府	せいふ	国全体を治めるしくみ
tdi8-f0!_.	幹部	かんぶ	組織の中心で指揮を取る人々
p~|R4haH,3	交代	こうたい	役割を別の人とかわること
d:8@kd0ic}	鈴	すず	振ると良い音が鳴る道具
G{!M|{MSdu	吸血鬼	きゅうけつき	人のちをすう伝説上の怪物
DU}~H]v7|n	悪化	あっか	状態がさらにひどくなること
GU^r0~n%Ig	鑑定	かんてい	物の価値や真偽を調べること
Bq)3M.4vyE	摘む	つむ	花や実を指でつまみ取る
tx,o:S}]0z	留守	るす	家に誰もいない状態のこと
e9R7^LKQ|O	従者	じゅうしゃ	貴族や主人に仕える人
Nb%3uVY?+V	諸君	しょくん	複数の相手に対する呼びかけ
Pl5!}:5cI)	古代	こだい	とても昔のじだいのこと
wZ[},c14VI	紛れる	まぎれる	注意力が別のものに向くこと
bGw6~<ExIS	称号	しょうごう	功績に応じて与えられる名前
M~}N~w*OSe	宿題	しゅくだい	学校から家でやるように出されるもんだい
Ox.{OCT/z!	紡ぐ	つむぐ	糸をよって長く伸ばしていく
J,Je5eW&P]	製	せい	品物を作った場所や方法を示す言葉
2hr2P+k,C	果物	くだもの	木や草になるあまいもの
s^]y;I.$4_	王城	おうじょう	国の支配者が住む大きなしろ
dd;NN~K&X6	結晶	けっしょう	美しい形に固まった鉱物
"G]T~4EVE#q"	赤ん坊	あかんぼう	生まれて間もない小さな子
A2!nXo)3.G	芝居	しばい	舞台上で役者が演じる作品
xZ0hpOSo4I	頻繁	ひんぱん	物事の起こる回数が多い様子
s./cu;(UIz	寿命	じゅみょう	生きていられる限りの期間
zc?S{?LD6R	巣	す	鳥や虫が住むための場所
pegnu>CadR	縦	たて	上から下へ向かう方向
rnfnC$2b/f	包丁	ほうちょう	料理で食材を切るための刃物
v!A1S[2tAL	束	たば	細い物をまとめたひとまとまり
b7uI=z>T{,	容易い	たやすい	苦労せずにできる様子
li&,>(Q)gB	湿る	しめる	水分を含んでじめじめした状態
mXlA|H8OA7	ご存知	ごぞんじ	目上の人がしっている尊敬の表現
F:j!,{vBj6	海外	かいがい	自分の国いがいの国々のこと
f|gB.b@T)q	空っぽ	からっぽ	何も中に入っていない様子
Mz^a9`*X81	明後日	あさって	きょうからふつかのちのひづけ
e~qtq7Lu5|	露骨	ろこつ	隠さずはっきりと現す様子
"s7c]-Kam#k"	輩	やから	ある集団に属する者たち
RfaphrxiSS	代償	だいしょう	失ったものに対する見返り
m16;kd_}hw	傾向	けいこう	物事の全体的なながれ
"j#mF)]6G#}"	恥	はじ	人に見られたくないと感じる気持ち
]b0:P{Fx8	酒場	さかば	アルコールを飲める店のこと
B:w{bn&T<R	図る	はかる	目的を達成しようとすること
nxtb}LQYYK	給料	きゅうりょう	会社からもらう定期的なお金
ovMn4;B5Qm	未熟	みじゅく	まだ十分に育っていない様子
ufWA~xSIHK	険しい	けわしい	斜面が急で大変な様子
deqR<y)<IM	欲する	ほっする	強く手に入れたいと思う
pxonGG*n=w	陽	ひ	たいようの光や温もりのこと
cww:9k)KY,	坂	さか	傾斜のあるみちのこと
xQp@Xx6ujy	瞬く	しばたたく	目をぱちぱちさせる動作
A/YGYs&`lr	根性	こんじょう	困難に負けない強い心
N^jf(Z$8mZ	基礎	きそ	物事の土台となる部分
l)EBL?H9()	拡大	かくだい	範囲や規模を広げること
fh*(>4N&f~	自力	じりき	誰の助けも借りずに行う
k=ZpT&ys3h	断つ	たつ	関係や通信をやめること
"yX@V#IY.uA"	砂漠	さばく	雨が少なくて乾いた広い土地
pXUTxjc)He	練る	ねる	材料を繰り返しこねてまとめる
O5Q!T^Hr|C	尾	お	動物の後ろにある長い器官
B6JYjeXub5	装飾	そうしょく	美しく見せるための細工
inGy83/c$$	本棚	ほんだな	書物を並べて収納する家具
h$:BK?z^wE	担う	になう	責任や役割を引き受ける
eeB-xDOVT<	他人事	ひとごと	自分とは関係ないできごと
v*RtTwgkSG	設ける	もうける	新しい組織や場所を作る
s!4b]f5pe2	神官	しんかん	おみやで儀式を行う人
F7GWUV%d+W	過剰	かじょう	必要な量を超えている状態
r,yQ@Wc%[C	頭を振る	かぶりをふる	嫌な時に首を左右に動かす
khDS2W}p/5	障害	しょうがい	物事の進行を妨げるもの
q<|y*a7MBS	核	かく	物事の中心となる部分
hm4y[Hn`mh	直感	ちょっかん	理屈抜きでかんじること
ommP^wHgiq	症状	しょうじょう	病気の現れとして出る変化
IRIX$}p2lz	努める	つとめる	目標に向かって頑張ること
Fsr:$e:iz-	温もり	ぬくもり	暖かさを感じる心地よさ
Ogl76!xscO	飲み干す	のみほす	中の液体を全部のみきる
r=4Wad!/pq	不良	ふりょう	行いや品質が悪い様子
i+xOl[1pMG	屈辱	くつじょく	非常に恥ずかしい思いをすること
30@_DyZ8r	金貨	きんか	黄色いきんぞくで作られたかへい
h=uAt]vi)_	土下座	どげざ	地面に頭を付けて謝る姿勢
nJbZC6$/:;	歓喜	かんき	この上なく嬉しい気持ち
Ln+zTbM5*p	手袋	てぶくろ	寒さから指を守る衣類
s:=_DG)e5Z	崖	がけ	急な斜面の高いところ
z|X05SMN,4	真っ青	まっさお	恐怖で顔色がなくなる様子
g2pRGr&(6<	傲慢	ごうまん	自分が偉いと思い上がる様子
wQsV$]&P)d	青白い	あおじろい	血色が悪く健康そうに見えない
A~&}Rw$l@O	甲高い	かんだかい	耳に刺さるような鋭い音
QZ[N+qcvr3	稽古	けいこ	芸や武道の練習をすること
m(OnJR9-xi	特訓	とっくん	集中的に行う厳しい練習
O;|<VV>8*g	駒	こま	将棋やチェスで使う小道具
B,7AloVYOb	箸	はし	食事の時に使う細い棒
F=NyR&2*74	末	すえ	物事の終わりの部分のこと
gju7I/-)Rd	測る	はかる	長さや重さを調べること
